ds,y
1895-01-01,26.69
1895-02-01,26.60
1895-03-01,39.97
1895-04-01,52.90
1895-05-01,59.94
1895-06-01,67.80
1895-07-01,71.24
1895-08-01,71.62
1895-09-01,65.57
1895-10-01,50.85
1895-11-01,39.16
1895-12-01,31.71
1896-01-01,31.48
1896-02-01,35.04
1896-03-01,38.03
1896-04-01,52.34
1896-05-01,62.46
1896-06-01,69.89
1896-07-01,73.69
1896-08-01,72.27
1896-09-01,62.94
1896-10-01,51.91
1896-11-01,38.32
1896-12-01,35.55
1897-01-01,28.17
1897-02-01,33.39
1897-03-01,38.79
1897-04-01,51.15
1897-05-01,61.18
1897-06-01,68.11
1897-07-01,73.36
1897-08-01,71.35
1897-09-01,66.40
1897-10-01,55.11
1897-11-01,40.91
1897-12-01,30.76
1898-01-01,30.67
1898-02-01,35.37
1898-03-01,41.05
1898-04-01,50.79
1898-05-01,59.94
1898-06-01,69.31
1898-07-01,73.29
1898-08-01,72.75
1898-09-01,65.46
1898-10-01,51.49
1898-11-01,38.39
1898-12-01,28.67
1899-01-01,29.68
1899-02-01,25.50
1899-03-01,37.63
1899-04-01,50.61
1899-05-01,59.90
1899-06-01,68.65
1899-07-01,73.08
1899-08-01,71.74
1899-09-01,64.80
1899-10-01,53.98
1899-11-01,44.92
1899-12-01,31.62
1900-01-01,34.11
1900-02-01,30.76
1900-03-01,41.27
1900-04-01,51.60
1900-05-01,61.74
1900-06-01,70.30
1900-07-01,73.13
1900-08-01,72.86
1900-09-01,65.14
1900-10-01,56.35
1900-11-01,41.54
1900-12-01,34.48
1901-01-01,31.62
1901-02-01,29.86
1901-03-01,40.71
1901-04-01,49.39
1901-05-01,61.18
1901-06-01,68.43
1901-07-01,76.24
1901-08-01,73.20
1901-09-01,63.25
1901-10-01,55.45
1901-11-01,41.68
1901-12-01,31.48
1902-01-01,30.06
1902-02-01,31.46
1902-03-01,41.58
1902-04-01,50.85
1902-05-01,61.99
1902-06-01,68.04
1902-07-01,72.05
1902-08-01,71.37
1902-09-01,62.76
1902-10-01,54.43
1902-11-01,43.68
1902-12-01,30.79
1903-01-01,30.88
1903-02-01,28.42
1903-03-01,42.21
1903-04-01,50.22
1903-05-01,59.54
